Year,Month,Day,MonthMonitoring campaign,Campaing,Site,Zone,Depth,Fileld Eh 1,Time,
2022,12,20,December,MonMon,OWC,Up,1,331,,
2022,12,20,December,MonMon,OWC,Up,1,338.1,,
2022,12,20,December,MonMon,OWC,Up,1,276.7,,
2022,12,20,December,MonMon,OWC,Up,2,348.1,,
2022,12,20,December,MonMon,OWC,Up,3,365.2,,
2022,12,20,December,MonMon,OWC,Up,3,385.3,,
2022,12,20,December,MonMon,OWC,Up,3,286,,
2022,12,20,December,MonMon,OWC,Up,4,361.85,,
2022,12,20,December,MonMon,OWC,Up,5,358.5,,
2022,12,20,December,MonMon,OWC,Up,5,364.6,,
2022,12,20,December,MonMon,OWC,Up,5,381.8,,
2022,12,20,December,MonMon,OWC,Up,6,370,,
2022,12,20,December,MonMon,OWC,Up,7,375.2,,
2022,12,20,December,MonMon,OWC,Up,7,248.8,,
2022,12,20,December,MonMon,OWC,Up,7,345.5,,
2022,12,20,December,MonMon,OWC,Up,8,379.45,,
2022,12,20,December,MonMon,OWC,Up,9,383.7,,
2022,12,20,December,MonMon,OWC,Up,9,354.3,,
2022,12,20,December,MonMon,OWC,Up,9,384.1,,
2022,12,20,December,MonMon,OWC,Up,10,368.8,,
2022,12,20,December,MonMon,OWC,Up,10,369.3,,
2022,12,20,December,MonMon,OWC,Up,10,402.7,,
2022,12,20,December,MonMon,OWC,Up,11,384.3,,
2022,12,20,December,MonMon,OWC,Up,12,399.8,,
2022,12,20,December,MonMon,OWC,Up,12,362.4,,
2022,12,20,December,MonMon,OWC,Up,12,412.1,,
2022,12,20,December,MonMon,OWC,Up,13,404.3,,
2022,12,20,December,MonMon,OWC,Up,14,408.8,,
2022,12,20,December,MonMon,OWC,Up,14,379.3,,
2022,12,20,December,MonMon,OWC,Up,14,414.6,,
2022,12,20,December,MonMon,OWC,Up,15,384.6,,
2022,12,20,December,MonMon,OWC,Up,15,421.2,,
2022,12,20,December,MonMon,OWC,Up,15,396.4,,
2022,12,20,December,MonMon,OWC,Up,16,380.9,,
2022,12,20,December,MonMon,OWC,Up,17,377.2,,
2022,12,20,December,MonMon,OWC,Up,17,362.5,,
2022,12,20,December,MonMon,OWC,Up,17,386.3,,
2022,12,20,December,MonMon,OWC,Up,18,371.45,,
2022,12,20,December,MonMon,OWC,Up,19,365.7,,
2022,12,20,December,MonMon,OWC,Up,19,389.9,,
2022,12,20,December,MonMon,OWC,Up,19,365.6,,
2022,12,20,December,MonMon,OWC,Up,20,365.2,,
2022,12,20,December,MonMon,OWC,Up,20,414.6,,
2022,12,20,December,MonMon,OWC,Up,20,405.1,,
2022,12,20,December,MonMon,OWC,Up,21,372.45,,
2022,12,20,December,MonMon,OWC,Up,22,379.7,,
2022,12,20,December,MonMon,OWC,Up,22,345.4,,
2022,12,20,December,MonMon,OWC,Up,22,383.8,,
2022,12,20,December,MonMon,OWC,Up,23,363.9,,
2022,12,20,December,MonMon,OWC,Up,24,348.1,,
2022,12,20,December,MonMon,OWC,Up,24,361.7,,
2022,12,20,December,MonMon,OWC,Up,24,281.35,,
2022,12,20,December,MonMon,OWC,Tr,1,279.1,,
2022,12,20,December,MonMon,OWC,Tr,1,295.1,,
